Feature,Average Difference
elapsed_time,0.20217272780241538
set_no,0.20220947171696424
game_no,0.20245235136305095
point_no,0.20213062125581305
serve_no,0.202531675068296
set_victor,0.20215978588428157
p1_ace,0.21180695149218629
p2_ace,0.21262107038606373
p1_double_fault,0.20218770626319774
p2_double_fault,0.20212637080365953
p1_unf_err,0.2391299663574914
p2_unf_err,0.23806939681602665
p1_net_pt,0.20532102511962738
p2_net_pt,0.20759404506286183
p1_net_pt_won,0.24368482831844068
p2_net_pt_won,0.2631519020831912
p1_break_pt,0.2038665976883504
p2_break_pt,0.2028608461625268
p1_break_pt_won,0.20373803680234115
p2_break_pt_won,0.20306702517121172
p1_break_pt_missed,0.20500070947267043
p2_break_pt_missed,0.20404130950396768
p1_distance_run,0.20300377032084904
p2_distance_run,0.20353729031360762
rally_count,0.20242329111900925
speed_mph,0.19800222123490144
game_victor_0,0.20330732406447957
game_victor_1,0.2220998757894209
game_victor_2,0.2293109601609102
winner_shot_type_0,0.20253704255381974
winner_shot_type_B,0.20227047606308562
winner_shot_type_F,0.20244266058554064
serve_width_B,0.20225351310482698
serve_width_BC,0.20215701044226564
serve_width_BW,0.20254457573600662
serve_width_C,0.2025239874454551
serve_width_W,0.2024274180613815
serve_depth_CTL,0.20222552338136157
serve_depth_NCTL,0.2024952564495924
return_depth_D,0.20238002306481886
return_depth_ND,0.20233907187340877
