Feature,Average Difference
elapsed_time,0.07529307052478658
set_no,0.07472470208006197
game_no,0.07538068220813492
point_no,0.0754614940476279
serve_no,0.08314744568711449
set_victor,0.0758456885099931
p1_ace,0.09193583991190837
p2_ace,0.09441957824769641
p1_double_fault,0.07656872151202936
p2_double_fault,0.07646881700962668
p1_unf_err,0.11096557995391101
p2_unf_err,0.12678875407247348
p1_net_pt,0.07981375735975053
p2_net_pt,0.08056322995342256
p1_net_pt_won,0.08474534883618703
p2_net_pt_won,0.11323505237178746
p1_break_pt,0.07778093341391448
p2_break_pt,0.07713703873256844
p1_break_pt_won,0.0762557998913261
p2_break_pt_won,0.0752962740253686
p1_break_pt_missed,0.07805784138266085
p2_break_pt_missed,0.07701096387955456
p1_distance_run,0.07651424238443837
p2_distance_run,0.07799408034703068
rally_count,0.07639132104886248
speed_mph,0.07601824149113988
game_victor_0,0.07598602828504736
game_victor_1,0.0961363419904843
game_victor_2,0.08613342786886435
winner_shot_type_0,0.0773855202167129
winner_shot_type_B,0.07589252225534862
winner_shot_type_F,0.07967453298209481
serve_width_B,0.07684127805581273
serve_width_BC,0.07665779215767403
serve_width_BW,0.079721454390895
serve_width_C,0.07673459613854572
serve_width_W,0.07889101294396346
serve_depth_CTL,0.07830922079323105
serve_depth_NCTL,0.07725624318718334
return_depth_D,0.07727251851916776
return_depth_ND,0.07780187109326439
