Feature,Average Difference
elapsed_time,0.13226486253575306
set_no,0.13154232956617332
game_no,0.1283459444951952
point_no,0.13109668908612943
serve_no,0.13377608077887873
set_victor,0.1321138005777823
p1_ace,0.14027105177479304
p2_ace,0.13936496024849404
p1_double_fault,0.13232977129889661
p2_double_fault,0.13271796989685566
p1_unf_err,0.15502874355818805
p2_unf_err,0.17010072106078497
p1_net_pt,0.13266128486587636
p2_net_pt,0.13333424898003468
p1_net_pt_won,0.15296253264691706
p2_net_pt_won,0.1389095141927698
p1_break_pt,0.13256105105415802
p2_break_pt,0.13218954745216752
p1_break_pt_won,0.1322665728332095
p2_break_pt_won,0.13246604092604486
p1_break_pt_missed,0.13256326512762565
p2_break_pt_missed,0.1329109462580426
p1_distance_run,0.13316859117713736
p2_distance_run,0.1326508181104761
rally_count,0.13257099624111582
speed_mph,0.1327689496179422
game_victor_0,0.13292268359505421
game_victor_1,0.14708420071584077
game_victor_2,0.14799829466796638
winner_shot_type_0,0.13241189961595026
winner_shot_type_B,0.13524629525951487
winner_shot_type_F,0.13396958460966452
serve_width_B,0.13317325322596887
serve_width_BC,0.13496229966815138
serve_width_BW,0.1337579826717798
serve_width_C,0.1339701032868369
serve_width_W,0.13512771335147805
serve_depth_CTL,0.13520533360392598
serve_depth_NCTL,0.1335471576107527
return_depth_D,0.1325834373225324
return_depth_ND,0.1319967559061537
