Feature,Average Difference
elapsed_time,0.14556344831962506
set_no,0.14464400551795323
game_no,0.1466486078404726
point_no,0.14537606063812333
serve_no,0.14770487170746477
set_victor,0.14609044767951768
p1_ace,0.15693783391053684
p2_ace,0.159007572612074
p1_double_fault,0.1475243946590721
p2_double_fault,0.14582064382127333
p1_unf_err,0.1793967871462175
p2_unf_err,0.17404259656042506
p1_net_pt,0.14698035895050926
p2_net_pt,0.1474820423969079
p1_net_pt_won,0.1607829886868703
p2_net_pt_won,0.17280904702611077
p1_break_pt,0.15016632560009321
p2_break_pt,0.14544870545798672
p1_break_pt_won,0.14708479205791025
p2_break_pt_won,0.1453303351816066
p1_break_pt_missed,0.15027517946325866
p2_break_pt_missed,0.1484143616396018
p1_distance_run,0.14525386880069688
p2_distance_run,0.14819346087271246
rally_count,0.14536612460829834
speed_mph,0.14587362083942057
game_victor_0,0.14715613411530534
game_victor_1,0.16184460562487138
game_victor_2,0.16387108601540828
winner_shot_type_0,0.14475550316451988
winner_shot_type_B,0.14664048210302089
winner_shot_type_F,0.14667567478488414
serve_width_B,0.14582949295942285
serve_width_BC,0.14658295377857788
serve_width_BW,0.1467529615774075
serve_width_C,0.14740614609210476
serve_width_W,0.14776698098271235
serve_depth_CTL,0.14755980391055348
serve_depth_NCTL,0.14695990027233
return_depth_D,0.14582618471492875
return_depth_ND,0.14876608942370856
