Feature,Average Difference
elapsed_time,0.13339269368507298
set_no,0.1336878916061952
game_no,0.13323475524733755
point_no,0.13313102494699958
serve_no,0.1352425434503955
set_victor,0.1335297309726403
p1_ace,0.1399617161462894
p2_ace,0.13993709794775752
p1_double_fault,0.1339895270666063
p2_double_fault,0.13387667487414792
p1_unf_err,0.16844725778454483
p2_unf_err,0.16763646261089094
p1_net_pt,0.13567862642285447
p2_net_pt,0.1411067014194365
p1_net_pt_won,0.16847949249248617
p2_net_pt_won,0.18774883610434842
p1_break_pt,0.136619841229007
p2_break_pt,0.13352958355793404
p1_break_pt_won,0.13626111614538705
p2_break_pt_won,0.13390053041285493
p1_break_pt_missed,0.1368611065582886
p2_break_pt_missed,0.13423549439742635
p1_distance_run,0.13440082141791582
p2_distance_run,0.13510214340407792
rally_count,0.13495713481810734
speed_mph,0.1337586433837359
game_victor_0,0.1352927129422473
game_victor_1,0.15667094157479383
game_victor_2,0.15442219122985032
winner_shot_type_0,0.13373288432353772
winner_shot_type_B,0.13351604612521037
winner_shot_type_F,0.13461004931050685
serve_width_B,0.13407787886612557
serve_width_BC,0.13410787615113354
serve_width_BW,0.1358479340873233
serve_width_C,0.13354177064483783
serve_width_W,0.135775195146728
serve_depth_CTL,0.13547556147337358
serve_depth_NCTL,0.13469063740134143
return_depth_D,0.13423784571979894
return_depth_ND,0.13513922099928377
