Feature,Average Difference
elapsed_time,0.09775415194010394
set_no,0.098550152240528
game_no,0.09830200040524596
point_no,0.09794588868695774
serve_no,0.09914142743645984
set_victor,0.09790291728523937
p1_ace,0.10586806687662442
p2_ace,0.10499381477968969
p1_double_fault,0.0982870131554303
p2_double_fault,0.09902547696110015
p1_unf_err,0.13252024975060006
p2_unf_err,0.12348323506622876
p1_net_pt,0.10521524941941698
p2_net_pt,0.10428758957487219
p1_net_pt_won,0.13595270435145584
p2_net_pt_won,0.15990659659554005
p1_break_pt,0.09810080536444685
p2_break_pt,0.09918535858922907
p1_break_pt_won,0.0979073449104243
p2_break_pt_won,0.09832262548661039
p1_break_pt_missed,0.09959887046966884
p2_break_pt_missed,0.09845360980116846
p1_distance_run,0.09845190808716488
p2_distance_run,0.09874519620662771
rally_count,0.09837971457399979
speed_mph,0.09817631673044554
game_victor_0,0.09831570943494265
game_victor_1,0.10762070982755349
game_victor_2,0.11254664402915522
winner_shot_type_0,0.09843038262778453
winner_shot_type_B,0.09928722964709022
winner_shot_type_F,0.09948988022205982
serve_width_B,0.0991630425172092
serve_width_BC,0.09789931953148673
serve_width_BW,0.09901170101337667
serve_width_C,0.09865568595962801
serve_width_W,0.09930134879032175
serve_depth_CTL,0.09879038892128272
serve_depth_NCTL,0.09888680036994774
return_depth_D,0.10077557877617681
return_depth_ND,0.1002006876064969
