Feature,Average Difference
elapsed_time,0.15067474501576789
set_no,0.15027605971193003
game_no,0.15187902626790234
point_no,0.15198062994950928
serve_no,0.15271098068513872
set_victor,0.15131419127614332
p1_ace,0.15892530733012944
p2_ace,0.1526514315463859
p1_double_fault,0.15164854808084277
p2_double_fault,0.15143333521655536
p1_unf_err,0.17824496767676337
p2_unf_err,0.16245065378185747
p1_net_pt,0.15068015084553765
p2_net_pt,0.15142859470677272
p1_net_pt_won,0.17066909031428654
p2_net_pt_won,0.20876735303518845
p1_break_pt,0.1502426742696492
p2_break_pt,0.15067516549586735
p1_break_pt_won,0.15089206563405178
p2_break_pt_won,0.1508488440091304
p1_break_pt_missed,0.15107638840162158
p2_break_pt_missed,0.15073886503031925
p1_distance_run,0.15097879379554166
p2_distance_run,0.15106623291985355
rally_count,0.1512434559745778
speed_mph,0.15226502490936422
game_victor_0,0.15055571374531576
game_victor_1,0.1560843037441373
game_victor_2,0.15432638117064046
winner_shot_type_0,0.15255909936968237
winner_shot_type_B,0.15082019410690226
winner_shot_type_F,0.15065863862922735
serve_width_B,0.15082162004927618
serve_width_BC,0.15389872599505527
serve_width_BW,0.1568781635796266
serve_width_C,0.15029761962319624
serve_width_W,0.15014127095326266
serve_depth_CTL,0.14953630788669245
serve_depth_NCTL,0.15129205613830604
return_depth_D,0.15102603014173177
return_depth_ND,0.14987520415432234
