Feature,Average Difference
elapsed_time,0.1258035095555838
set_no,0.12974536582481033
game_no,0.12397247940821705
point_no,0.12781380434715472
serve_no,0.13388776846056766
set_victor,0.12607762206432432
p1_ace,0.13468017184457115
p2_ace,0.13392666336408884
p1_double_fault,0.1261122911977907
p2_double_fault,0.12494787123660711
p1_unf_err,0.1542516291106856
p2_unf_err,0.1590150927596314
p1_net_pt,0.12572856569359472
p2_net_pt,0.12646191068513452
p1_net_pt_won,0.13262225969412997
p2_net_pt_won,0.1337670912489642
p1_break_pt,0.1251506372905055
p2_break_pt,0.12560002230627595
p1_break_pt_won,0.12636782922197223
p2_break_pt_won,0.1260471386514431
p1_break_pt_missed,0.1264313054327355
p2_break_pt_missed,0.12642912265693035
p1_distance_run,0.1267062598068354
p2_distance_run,0.1270708777027768
rally_count,0.12627274988522366
speed_mph,0.12591431488997717
game_victor_0,0.12665802792581018
game_victor_1,0.13768095158906873
game_victor_2,0.1338242710503035
winner_shot_type_0,0.12728402327659522
winner_shot_type_B,0.13114015178798244
winner_shot_type_F,0.12696695359467075
serve_width_B,0.12571545370269657
serve_width_BC,0.12720960413820526
serve_width_BW,0.13017852555007436
serve_width_C,0.12828620727672135
serve_width_W,0.1274040109750837
serve_depth_CTL,0.1299550077683011
serve_depth_NCTL,0.127172764368182
return_depth_D,0.12438861537118294
return_depth_ND,0.12846033270968948
