Feature,Average Difference
elapsed_time,0.12245851119451315
set_no,0.12057654168111857
game_no,0.12322421982976389
point_no,0.12247535792650814
serve_no,0.12387101267200008
set_victor,0.12280104033602973
p1_ace,0.13222364518147559
p2_ace,0.1297101500170466
p1_double_fault,0.12319839934163068
p2_double_fault,0.12286443340120674
p1_unf_err,0.1464950922097045
p2_unf_err,0.17517135611470835
p1_net_pt,0.12651615324533647
p2_net_pt,0.1341192380260722
p1_net_pt_won,0.14418989365230553
p2_net_pt_won,0.1851204237180911
p1_break_pt,0.12351346584312893
p2_break_pt,0.12421083972432913
p1_break_pt_won,0.12328880209061834
p2_break_pt_won,0.1231692008320012
p1_break_pt_missed,0.12412002970499018
p2_break_pt_missed,0.12290804623660664
p1_distance_run,0.12627877042548338
p2_distance_run,0.12258536041357818
rally_count,0.12307198412325462
speed_mph,0.12266458198290178
game_victor_0,0.12362660801888982
game_victor_1,0.14207333873681446
game_victor_2,0.1414764212442125
winner_shot_type_0,0.12399002730409488
winner_shot_type_B,0.12238715486715972
winner_shot_type_F,0.12491688059274982
serve_width_B,0.12320889016774332
serve_width_BC,0.12324484035395727
serve_width_BW,0.12273048378090247
serve_width_C,0.12418094793840506
serve_width_W,0.12405505643582637
serve_depth_CTL,0.12186156210340099
serve_depth_NCTL,0.12156077372853033
return_depth_D,0.12629806827270873
return_depth_ND,0.12529469451165676
