Feature,Average Difference
elapsed_time,0.13774648090760258
set_no,0.13807406737372793
game_no,0.13873099196188413
point_no,0.13845854182310147
serve_no,0.1415222689316705
set_victor,0.13804728343183625
p1_ace,0.14648367081993616
p2_ace,0.14179597122530485
p1_double_fault,0.13770656719033061
p2_double_fault,0.1380721062126345
p1_unf_err,0.19699605094718525
p2_unf_err,0.16088215982348758
p1_net_pt,0.13774652213500493
p2_net_pt,0.13771486280807133
p1_net_pt_won,0.13882977071635685
p2_net_pt_won,0.1481207035340626
p1_break_pt,0.14334553063815011
p2_break_pt,0.13775214696110322
p1_break_pt_won,0.1386083223683567
p2_break_pt_won,0.13807660891192744
p1_break_pt_missed,0.14728103459138298
p2_break_pt_missed,0.1377701143136826
p1_distance_run,0.13943175107497596
p2_distance_run,0.13981896147645756
rally_count,0.1388118607383864
speed_mph,0.1378730302805017
game_victor_0,0.13893361004647511
game_victor_1,0.15408411718262682
game_victor_2,0.15981949290324904
winner_shot_type_0,0.13719091346808546
winner_shot_type_B,0.1395380576198985
winner_shot_type_F,0.14092512966486914
serve_width_B,0.14174571698852656
serve_width_BC,0.1406264950245105
serve_width_BW,0.13684314296805652
serve_width_C,0.13960517251799848
serve_width_W,0.14403218898665288
serve_depth_CTL,0.139553082449169
serve_depth_NCTL,0.13918729705928728
return_depth_D,0.1398039547045683
return_depth_ND,0.14032907701386463
