Feature,Average Difference
elapsed_time,0.13387167391466334
set_no,0.1338934349550053
game_no,0.13487530369985293
point_no,0.13448762724532726
serve_no,0.13398187492359825
set_victor,0.13401060296499984
p1_ace,0.14310256710077857
p2_ace,0.13783209860760798
p1_double_fault,0.136106023683827
p2_double_fault,0.13406875022231263
p1_unf_err,0.18520636194088355
p2_unf_err,0.16167139989977822
p1_net_pt,0.13381854906519675
p2_net_pt,0.13311647355437595
p1_net_pt_won,0.13933969682914782
p2_net_pt_won,0.15068829946536966
p1_break_pt,0.13591845495983007
p2_break_pt,0.13576702254289325
p1_break_pt_won,0.1335612152469285
p2_break_pt_won,0.13464045287763818
p1_break_pt_missed,0.1378124347943416
p2_break_pt_missed,0.13533516771496926
p1_distance_run,0.13446931933627485
p2_distance_run,0.13475217137683895
rally_count,0.13416676194664645
speed_mph,0.13350812854483088
game_victor_0,0.13544717861537603
game_victor_1,0.14399191498558253
game_victor_2,0.13914051078735518
winner_shot_type_0,0.13487665856019293
winner_shot_type_B,0.13515434616819977
winner_shot_type_F,0.13483960378043194
serve_width_B,0.13645233551119554
serve_width_BC,0.1358046629929796
serve_width_BW,0.1353790366455437
serve_width_C,0.13630176625908055
serve_width_W,0.135771269882296
serve_depth_CTL,0.1353498858597843
serve_depth_NCTL,0.13480956411742148
return_depth_D,0.135930793313904
return_depth_ND,0.134372522388684
