Feature,Average Difference
elapsed_time,0.11532186024558191
set_no,0.11450369489281928
game_no,0.11813623603266568
point_no,0.11503926125257766
serve_no,0.11907454412708535
set_victor,0.11528897991598545
p1_ace,0.12399904668442352
p2_ace,0.12776875142286076
p1_double_fault,0.11515190104828844
p2_double_fault,0.11616731620769005
p1_unf_err,0.14742125093158504
p2_unf_err,0.13474283976786178
p1_net_pt,0.11959764166776816
p2_net_pt,0.11624959929665524
p1_net_pt_won,0.13346534788942163
p2_net_pt_won,0.11682155885691967
p1_break_pt,0.11497329917750254
p2_break_pt,0.11852640081475031
p1_break_pt_won,0.11497329917750254
p2_break_pt_won,0.1160678120691385
p1_break_pt_missed,0.11497329917750254
p2_break_pt_missed,0.11774340174647412
p1_distance_run,0.11488957058137925
p2_distance_run,0.11468744600441921
rally_count,0.11471249432261314
speed_mph,0.11638196660066721
game_victor_0,0.11501714176317653
game_victor_1,0.1268940468165857
game_victor_2,0.124420995988063
winner_shot_type_0,0.11609524048642439
winner_shot_type_B,0.11590476756665247
winner_shot_type_F,0.11637012381940638
serve_width_B,0.12190087726200698
serve_width_BC,0.11769887112192257
serve_width_BW,0.11830481599960757
serve_width_C,0.12037699162515246
serve_width_W,0.1188375567655955
serve_depth_CTL,0.11522573203182047
serve_depth_NCTL,0.11576242693213387
return_depth_D,0.1139329311396204
return_depth_ND,0.11441138615247921
