Feature,Average Difference
elapsed_time,0.11554962490667021
set_no,0.1166433929913111
game_no,0.11694918749032211
point_no,0.116062173912046
serve_no,0.11650651623768842
set_victor,0.11558151389198268
p1_ace,0.12079169527244041
p2_ace,0.12142429372259214
p1_double_fault,0.11827457800927553
p2_double_fault,0.11634021083568678
p1_unf_err,0.14355294519907558
p2_unf_err,0.1461893773263357
p1_net_pt,0.11998895284281495
p2_net_pt,0.11663123666966224
p1_net_pt_won,0.14695631072801704
p2_net_pt_won,0.12831094093876433
p1_break_pt,0.11570593231704596
p2_break_pt,0.11859787738808959
p1_break_pt_won,0.11547686325331381
p2_break_pt_won,0.1169239662268071
p1_break_pt_missed,0.11550456540220799
p2_break_pt_missed,0.11684631831560502
p1_distance_run,0.11618359662482843
p2_distance_run,0.11623065391573689
rally_count,0.11585128570395502
speed_mph,0.11560434289550518
game_victor_0,0.11794439618128771
game_victor_1,0.13450529575073983
game_victor_2,0.1387414128017411
winner_shot_type_0,0.11560059222940573
winner_shot_type_B,0.11639247641661295
winner_shot_type_F,0.11866421905967094
serve_width_B,0.11692513991238584
serve_width_BC,0.11598724182969065
serve_width_BW,0.11699994828953754
serve_width_C,0.11549830352248368
serve_width_W,0.11841125957686088
serve_depth_CTL,0.12014776937955733
serve_depth_NCTL,0.11625600937279122
return_depth_D,0.11887945251028033
return_depth_ND,0.11646187419857025
