Feature,Average Difference
elapsed_time,0.11009628691989928
set_no,0.1104582033115439
game_no,0.11180865998379887
point_no,0.11024639165401456
serve_no,0.11186248751869425
set_victor,0.11037691448442637
p1_ace,0.11361126552103087
p2_ace,0.11499465320538729
p1_double_fault,0.11098432749230412
p2_double_fault,0.11107778757018966
p1_unf_err,0.13613765406841413
p2_unf_err,0.15232328216312452
p1_net_pt,0.11058573276409878
p2_net_pt,0.1219037400013767
p1_net_pt_won,0.14059327962854876
p2_net_pt_won,0.14623353022150695
p1_break_pt,0.11062669834680854
p2_break_pt,0.11151255535474046
p1_break_pt_won,0.11128265194594861
p2_break_pt_won,0.11031469614664091
p1_break_pt_missed,0.109674948759377
p2_break_pt_missed,0.11252729577478021
p1_distance_run,0.11073535656649618
p2_distance_run,0.11133146756561471
rally_count,0.11110748597094787
speed_mph,0.11202563028270378
game_victor_0,0.11197773871198297
game_victor_1,0.13439934964710845
game_victor_2,0.1291484979679808
winner_shot_type_0,0.11082365519599989
winner_shot_type_B,0.11094170090463013
winner_shot_type_F,0.11211992844799532
serve_width_B,0.1123704960574396
serve_width_BC,0.11200914481980724
serve_width_BW,0.11154826183011753
serve_width_C,0.11068384722527118
serve_width_W,0.11316696957452223
serve_depth_CTL,0.11284510021517052
serve_depth_NCTL,0.11309626904642207
return_depth_D,0.11617665820242838
return_depth_ND,0.11214155066478997
