Feature,Average Difference
elapsed_time,0.09364305124767046
set_no,0.09372743780393084
game_no,0.0966590571862612
point_no,0.09269708941565523
serve_no,0.09709017774078259
set_victor,0.09394643548200889
p1_ace,0.11767981903019874
p2_ace,0.10684501775371623
p1_double_fault,0.09362576870458214
p2_double_fault,0.0947231354672454
p1_unf_err,0.12006085045429182
p2_unf_err,0.12206517077013375
p1_net_pt,0.09596553482274131
p2_net_pt,0.09547916850222073
p1_net_pt_won,0.12287488241217286
p2_net_pt_won,0.12067640078252062
p1_break_pt,0.0940637180823952
p2_break_pt,0.0942496279377673
p1_break_pt_won,0.09357692274981853
p2_break_pt_won,0.09498605038374981
p1_break_pt_missed,0.09399795562807305
p2_break_pt_missed,0.0956651215240963
p1_distance_run,0.09360820630720178
p2_distance_run,0.09435429997456228
rally_count,0.0939640792551389
speed_mph,0.09360287090751537
game_victor_0,0.09386996651953981
game_victor_1,0.1101865363059077
game_victor_2,0.11485537408289119
winner_shot_type_0,0.09595670231909895
winner_shot_type_B,0.09514017069517677
winner_shot_type_F,0.09528228086052039
serve_width_B,0.09709032342822822
serve_width_BC,0.09542438289932986
serve_width_BW,0.09611095251765717
serve_width_C,0.0952999758154853
serve_width_W,0.096721794499136
serve_depth_CTL,0.09574742079623091
serve_depth_NCTL,0.09705995611989422
return_depth_D,0.09517594332268625
return_depth_ND,0.09659821164728737
