Feature,Average Difference
elapsed_time,0.12080259479147769
set_no,0.1232110485230841
game_no,0.12090646324957635
point_no,0.12128864283314744
serve_no,0.12547333910789701
set_victor,0.12099470692445705
p1_ace,0.13001718609701313
p2_ace,0.1314712493801501
p1_double_fault,0.12199932604638877
p2_double_fault,0.12069137742966958
p1_unf_err,0.15695739179116336
p2_unf_err,0.1537561102927564
p1_net_pt,0.122274806840687
p2_net_pt,0.12387880552311135
p1_net_pt_won,0.14705926370857916
p2_net_pt_won,0.1506720530115892
p1_break_pt,0.12261984147683676
p2_break_pt,0.12217785003860984
p1_break_pt_won,0.12169112319563531
p2_break_pt_won,0.12129532414944538
p1_break_pt_missed,0.12194456067185212
p2_break_pt_missed,0.12260714071969146
p1_distance_run,0.12232244539584962
p2_distance_run,0.12159947946866836
rally_count,0.1211252941771491
speed_mph,0.1216127534443343
game_victor_0,0.1213117193720357
game_victor_1,0.1393348441401526
game_victor_2,0.13575711060328954
winner_shot_type_0,0.12170830672858046
winner_shot_type_B,0.12264923834912977
winner_shot_type_F,0.12192893245303835
serve_width_B,0.12408229803863376
serve_width_BC,0.12376650226271893
serve_width_BW,0.12040075164917464
serve_width_C,0.12217486080864078
serve_width_W,0.12335992653108455
serve_depth_CTL,0.12396294796796357
serve_depth_NCTL,0.12281908995561294
return_depth_D,0.12200253273916056
return_depth_ND,0.12433281602385488
