Feature,Average Difference
elapsed_time,0.10948414914679223
set_no,0.10962581986290634
game_no,0.1138563547870103
point_no,0.10930589613328287
serve_no,0.11166660726554525
set_victor,0.1096924222246764
p1_ace,0.11844169892337879
p2_ace,0.11654226770952736
p1_double_fault,0.10992396267434573
p2_double_fault,0.1099486669939881
p1_unf_err,0.14011152016844122
p2_unf_err,0.15856088217315034
p1_net_pt,0.10910595251731409
p2_net_pt,0.11208479714083446
p1_net_pt_won,0.13409840439975523
p2_net_pt_won,0.14993871163683511
p1_break_pt,0.11274350651905005
p2_break_pt,0.10944417703543922
p1_break_pt_won,0.11189290118539122
p2_break_pt_won,0.10985850361442512
p1_break_pt_missed,0.11376428756009507
p2_break_pt_missed,0.10944806850568639
p1_distance_run,0.10998917836654881
p2_distance_run,0.11024541614232543
rally_count,0.11056745108955492
speed_mph,0.11072237482089302
game_victor_0,0.11144492131768671
game_victor_1,0.12938911634854283
game_victor_2,0.13033221093896727
winner_shot_type_0,0.10940412540390823
winner_shot_type_B,0.10923134220788655
winner_shot_type_F,0.10958141325254994
serve_width_B,0.1091777533391236
serve_width_BC,0.1118432657091595
serve_width_BW,0.11114081456756734
serve_width_C,0.11172734991265747
serve_width_W,0.1112312653988173
serve_depth_CTL,0.11191772419942896
serve_depth_NCTL,0.111874297217749
return_depth_D,0.11342707691829043
return_depth_ND,0.11692591030232705
