Feature,Average Difference
elapsed_time,0.1910983303699054
set_no,0.19248428332374282
game_no,0.19175538317545462
point_no,0.1916273885592818
serve_no,0.1919393983424494
set_victor,0.19144800124395833
p1_ace,0.192429615549351
p2_ace,0.1957081434562018
p1_double_fault,0.19136072342725174
p2_double_fault,0.19133616841153092
p1_unf_err,0.20833179434467305
p2_unf_err,0.22081705040641522
p1_net_pt,0.19442690228945328
p2_net_pt,0.19758627781154292
p1_net_pt_won,0.19683436833910248
p2_net_pt_won,0.20947300812523617
p1_break_pt,0.19231784622528048
p2_break_pt,0.19206135387483395
p1_break_pt_won,0.19107710324423877
p2_break_pt_won,0.19196180322648662
p1_break_pt_missed,0.19190462462407976
p2_break_pt_missed,0.19178828419627328
p1_distance_run,0.19237846482741203
p2_distance_run,0.19200476370555788
rally_count,0.19230595513394005
speed_mph,0.19151263193472434
game_victor_0,0.19184294615921219
game_victor_1,0.204973264599317
game_victor_2,0.20697491492487882
winner_shot_type_0,0.19696598899795817
winner_shot_type_B,0.19266262618138602
winner_shot_type_F,0.1950700982365953
serve_width_B,0.1907468956708908
serve_width_BC,0.19228308588658508
serve_width_BW,0.19259815138617628
serve_width_C,0.19266797929806145
serve_width_W,0.19419139167588007
serve_depth_CTL,0.1972566539029542
serve_depth_NCTL,0.19470658222115353
return_depth_D,0.1933916483133247
return_depth_ND,0.19276247222760787
