Feature,Average Difference
elapsed_time,0.10813745907490906
set_no,0.10969513706998393
game_no,0.11265580805458807
point_no,0.10929615947197785
serve_no,0.11033199952813712
set_victor,0.10816150003942578
p1_ace,0.11522296321121131
p2_ace,0.10798247785459866
p1_double_fault,0.11162907572632487
p2_double_fault,0.10812006454034286
p1_unf_err,0.1784642558666793
p2_unf_err,0.14900106564435092
p1_net_pt,0.10971411498161882
p2_net_pt,0.10909594755687499
p1_net_pt_won,0.11819558653777298
p2_net_pt_won,0.12700267668881202
p1_break_pt,0.1091156577264721
p2_break_pt,0.10923813791708514
p1_break_pt_won,0.10896693662621759
p2_break_pt_won,0.1098273142129183
p1_break_pt_missed,0.11205698138475419
p2_break_pt_missed,0.11050510077313945
p1_distance_run,0.10841419369795106
p2_distance_run,0.10835301620174538
rally_count,0.10811716235632246
speed_mph,0.10821454706110739
game_victor_0,0.10964282156662508
game_victor_1,0.11964156168292871
game_victor_2,0.12231358639895919
winner_shot_type_0,0.10865775604817002
winner_shot_type_B,0.10961522116308864
winner_shot_type_F,0.11183504112064839
serve_width_B,0.10962641465528446
serve_width_BC,0.10825712954591622
serve_width_BW,0.10982163206420163
serve_width_C,0.11054556681215766
serve_width_W,0.1104067715433511
serve_depth_CTL,0.10899039750613952
serve_depth_NCTL,0.1100563367618756
return_depth_D,0.11253268558464269
return_depth_ND,0.11002441783926706
