Feature,Average Difference
elapsed_time,0.11096474945620455
set_no,0.11087983523994083
game_no,0.1134301868728315
point_no,0.11064801110199304
serve_no,0.11505661273582114
set_victor,0.11151369636821928
p1_ace,0.11117924186730324
p2_ace,0.12161503616870954
p1_double_fault,0.11168686580101046
p2_double_fault,0.11124270200503594
p1_unf_err,0.12885218755426733
p2_unf_err,0.13975929929075218
p1_net_pt,0.11971736451178187
p2_net_pt,0.10983442626517229
p1_net_pt_won,0.12095327503565284
p2_net_pt_won,0.1320807643893241
p1_break_pt,0.11186054987513055
p2_break_pt,0.11299526912131996
p1_break_pt_won,0.11096403981662459
p2_break_pt_won,0.11202163835705227
p1_break_pt_missed,0.11145522622485655
p2_break_pt_missed,0.11058064431253106
p1_distance_run,0.11079446973109788
p2_distance_run,0.11043825860351625
rally_count,0.10951518212454488
speed_mph,0.11129601665330355
game_victor_0,0.10992196038967432
game_victor_1,0.11292559378074878
game_victor_2,0.12545893514961606
winner_shot_type_0,0.11470597016465182
winner_shot_type_B,0.11230327824525761
winner_shot_type_F,0.1114076500551568
serve_width_B,0.11120665679224814
serve_width_BC,0.10976573566934378
serve_width_BW,0.11410299917551303
serve_width_C,0.11292677211452916
serve_width_W,0.11195711980602054
serve_depth_CTL,0.11400937510259225
serve_depth_NCTL,0.11457216516137123
return_depth_D,0.11045424083266596
return_depth_ND,0.10918482949562143
