Feature,Average Difference
elapsed_time,0.10495357044889189
set_no,0.10503976689121589
game_no,0.10441858679268176
point_no,0.10510162609379466
serve_no,0.1064934690445056
set_victor,0.10518487984905155
p1_ace,0.1083847427876984
p2_ace,0.10827468037605284
p1_double_fault,0.10627050387211202
p2_double_fault,0.10609881168428231
p1_unf_err,0.14483741763070587
p2_unf_err,0.1477748160636643
p1_net_pt,0.10553192667875104
p2_net_pt,0.10757677116832597
p1_net_pt_won,0.11779148426754929
p2_net_pt_won,0.12962627934095095
p1_break_pt,0.10608482882834791
p2_break_pt,0.10501875266644771
p1_break_pt_won,0.10543001777363746
p2_break_pt_won,0.10506176172293782
p1_break_pt_missed,0.10614770466113478
p2_break_pt_missed,0.10544663464605081
p1_distance_run,0.10564094336960857
p2_distance_run,0.10537344557725316
rally_count,0.1051266298591485
speed_mph,0.1048537829648552
game_victor_0,0.10560187293686032
game_victor_1,0.11996439507882282
game_victor_2,0.1168592685091544
winner_shot_type_0,0.1063783927146739
winner_shot_type_B,0.10435097291914189
winner_shot_type_F,0.10555572126939046
serve_width_B,0.10461589662676178
serve_width_BC,0.10547317356870671
serve_width_BW,0.10588650401469653
serve_width_C,0.10758534863560905
serve_width_W,0.10903262677110308
serve_depth_CTL,0.10713606313082988
serve_depth_NCTL,0.1057670632150115
return_depth_D,0.1058283251520943
return_depth_ND,0.10664169443392658
