Feature,Average Difference
elapsed_time,0.10594759069409379
set_no,0.10728347664261717
game_no,0.10801643043616568
point_no,0.1054906708533775
serve_no,0.10757551396423033
set_victor,0.1062509487291247
p1_ace,0.1103314515023969
p2_ace,0.1155774229875123
p1_double_fault,0.10712248102101572
p2_double_fault,0.10667400551924892
p1_unf_err,0.13383744585856866
p2_unf_err,0.14851845418772017
p1_net_pt,0.10895394599502427
p2_net_pt,0.10819038632828655
p1_net_pt_won,0.12758541812971586
p2_net_pt_won,0.12325612801682433
p1_break_pt,0.10764906941453967
p2_break_pt,0.10577362183341538
p1_break_pt_won,0.10845292575193892
p2_break_pt_won,0.10605395533616693
p1_break_pt_missed,0.11030101675426528
p2_break_pt_missed,0.10568890558433294
p1_distance_run,0.10720065542028892
p2_distance_run,0.10638612649128051
rally_count,0.10614462083056919
speed_mph,0.1065600105408282
game_victor_0,0.10732673008624517
game_victor_1,0.12929498090107047
game_victor_2,0.12323995590157492
winner_shot_type_0,0.10788683956795037
winner_shot_type_B,0.10896612015364805
winner_shot_type_F,0.10655776142042148
serve_width_B,0.10662709254238038
serve_width_BC,0.10769967366875687
serve_width_BW,0.1119227805935686
serve_width_C,0.1071780917711311
serve_width_W,0.10631292315567252
serve_depth_CTL,0.10721102948715919
serve_depth_NCTL,0.10788804810983894
return_depth_D,0.11133837644448023
return_depth_ND,0.11093894744667929
