Feature,Average Difference
elapsed_time,0.10823792928376717
set_no,0.1060394245990225
game_no,0.10746727110566323
point_no,0.10734820175412542
serve_no,0.11048699849360699
set_victor,0.10862362235784534
p1_ace,0.11387133239894302
p2_ace,0.10970928729385945
p1_double_fault,0.11284673508760094
p2_double_fault,0.10835797144351783
p1_unf_err,0.14651675696308553
p2_unf_err,0.16654339500778434
p1_net_pt,0.10773416636360661
p2_net_pt,0.11109241901620018
p1_net_pt_won,0.10868634281126231
p2_net_pt_won,0.12501318425342847
p1_break_pt,0.11222549830739566
p2_break_pt,0.10951302145381234
p1_break_pt_won,0.1103683613321266
p2_break_pt_won,0.1081900633509095
p1_break_pt_missed,0.1107808825293103
p2_break_pt_missed,0.10951868565098662
p1_distance_run,0.1094691441107441
p2_distance_run,0.10877394354423965
rally_count,0.1085486379507426
speed_mph,0.10962646050227659
game_victor_0,0.10798949483681372
game_victor_1,0.1279594483649409
game_victor_2,0.13030956238105493
winner_shot_type_0,0.10981938975082862
winner_shot_type_B,0.1104577849885902
winner_shot_type_F,0.10916220327889599
serve_width_B,0.10847576908163124
serve_width_BC,0.10929095130514456
serve_width_BW,0.10866265033547945
serve_width_C,0.10773068317690414
serve_width_W,0.10858628060769393
serve_depth_CTL,0.10918103284127006
serve_depth_NCTL,0.10813225667621641
return_depth_D,0.10937227127519818
return_depth_ND,0.10902472595105302
