Feature,Average Difference
elapsed_time,0.12822893205781777
set_no,0.125073326881354
game_no,0.131123507724454
point_no,0.1282866436516245
serve_no,0.12868357790944476
set_victor,0.12848031073249874
p1_ace,0.13790259671397506
p2_ace,0.1398404927731802
p1_double_fault,0.1289008769672364
p2_double_fault,0.12867957436603802
p1_unf_err,0.15719936857186256
p2_unf_err,0.16704014318684737
p1_net_pt,0.13154949893616139
p2_net_pt,0.13234894887792564
p1_net_pt_won,0.14052130137880645
p2_net_pt_won,0.160816376172627
p1_break_pt,0.1297009703852236
p2_break_pt,0.12830083337426185
p1_break_pt_won,0.1292096136957407
p2_break_pt_won,0.12915642877916494
p1_break_pt_missed,0.1293037189450115
p2_break_pt_missed,0.1294593373791625
p1_distance_run,0.12879898512735963
p2_distance_run,0.12925645417471726
rally_count,0.12875462739417948
speed_mph,0.1285304683552434
game_victor_0,0.13050602999391653
game_victor_1,0.14559613099507987
game_victor_2,0.14499996603280305
winner_shot_type_0,0.12972148022055624
winner_shot_type_B,0.1287861932640274
winner_shot_type_F,0.129385669797038
serve_width_B,0.12822161762105921
serve_width_BC,0.1298589726053178
serve_width_BW,0.13098845621881386
serve_width_C,0.1303485403532783
serve_width_W,0.13135099557725088
serve_depth_CTL,0.12915606082541245
serve_depth_NCTL,0.12904790223638216
return_depth_D,0.13069905197247864
return_depth_ND,0.12924205572220185
