Feature,Average Difference
elapsed_time,0.12767699303419827
set_no,0.12647713173765732
game_no,0.12815322023257303
point_no,0.1259227499271971
serve_no,0.12911718381235673
set_victor,0.12767025535123927
p1_ace,0.13915903819216643
p2_ace,0.13309824123922315
p1_double_fault,0.127266825726811
p2_double_fault,0.1285664562617627
p1_unf_err,0.16184979294693394
p2_unf_err,0.15535112736914014
p1_net_pt,0.13217337582007013
p2_net_pt,0.1348728907307865
p1_net_pt_won,0.15833044027757937
p2_net_pt_won,0.17445283002438267
p1_break_pt,0.12869543789703744
p2_break_pt,0.1290427379882531
p1_break_pt_won,0.12792614503262378
p2_break_pt_won,0.12924156464436143
p1_break_pt_missed,0.12931068941925777
p2_break_pt_missed,0.1308046695895925
p1_distance_run,0.12900598332673738
p2_distance_run,0.12830021531109198
rally_count,0.12809707880220325
speed_mph,0.1287288458124867
game_victor_0,0.12828135091770757
game_victor_1,0.14008672757498067
game_victor_2,0.14464707971526286
winner_shot_type_0,0.12829370233758125
winner_shot_type_B,0.12846693017220517
winner_shot_type_F,0.12970656829625746
serve_width_B,0.1286969479126504
serve_width_BC,0.12856652768442955
serve_width_BW,0.12850711205450305
serve_width_C,0.1288384881740128
serve_width_W,0.12833709109052208
serve_depth_CTL,0.12871242507503977
serve_depth_NCTL,0.12818582573550577
return_depth_D,0.12894792425517373
return_depth_ND,0.12893118428505843
