Feature,Average Difference
elapsed_time,0.14330247474808094
set_no,0.14189248434464702
game_no,0.14347887525396172
point_no,0.14243584300780526
serve_no,0.1485271315514482
set_victor,0.14324937626159812
p1_ace,0.152157136797905
p2_ace,0.166699780803611
p1_double_fault,0.14564777308716467
p2_double_fault,0.14402405976409646
p1_unf_err,0.17797238529078277
p2_unf_err,0.17881187313179459
p1_net_pt,0.1443179150212539
p2_net_pt,0.1433416631579959
p1_net_pt_won,0.15102776484170433
p2_net_pt_won,0.14711404844698775
p1_break_pt,0.1466803594339342
p2_break_pt,0.14365055775838284
p1_break_pt_won,0.1445207790624648
p2_break_pt_won,0.1436741744863316
p1_break_pt_missed,0.14508131097809815
p2_break_pt_missed,0.14453177923257926
p1_distance_run,0.14325273801953026
p2_distance_run,0.14261389838557853
rally_count,0.14316688391944057
speed_mph,0.14472340277173154
game_victor_0,0.1438865467661144
game_victor_1,0.1652916938241379
game_victor_2,0.16977497665605076
winner_shot_type_0,0.14368736189156076
winner_shot_type_B,0.1455141135329652
winner_shot_type_F,0.14396840898503727
serve_width_B,0.14676065394925963
serve_width_BC,0.14457273471033635
serve_width_BW,0.14438541301399335
serve_width_C,0.14777986894540948
serve_width_W,0.1442331057793938
serve_depth_CTL,0.1459167522688707
serve_depth_NCTL,0.1458022542682612
return_depth_D,0.1462663777417421
return_depth_ND,0.14698836734177365
