Feature,Average Difference
elapsed_time,0.11443206437421752
set_no,0.11445989144639565
game_no,0.11526135223456804
point_no,0.11406063905811496
serve_no,0.11719672917964456
set_victor,0.11451286848672887
p1_ace,0.12201712954520566
p2_ace,0.12977301310123782
p1_double_fault,0.11472963607178753
p2_double_fault,0.11503767300656394
p1_unf_err,0.1463196835346213
p2_unf_err,0.14560423158301217
p1_net_pt,0.11530168877060036
p2_net_pt,0.11631547302852588
p1_net_pt_won,0.12459784305087994
p2_net_pt_won,0.12730082199601553
p1_break_pt,0.11804257061994952
p2_break_pt,0.11467695976079434
p1_break_pt_won,0.11659082704338908
p2_break_pt_won,0.11434461607012092
p1_break_pt_missed,0.11675187386044292
p2_break_pt_missed,0.11463100443901399
p1_distance_run,0.11493963284235563
p2_distance_run,0.11578085823944706
rally_count,0.1145804025612042
speed_mph,0.11488745120574825
game_victor_0,0.11468432182158084
game_victor_1,0.13655887394951485
game_victor_2,0.12991323701259633
winner_shot_type_0,0.11394284258394972
winner_shot_type_B,0.1151590152931659
winner_shot_type_F,0.11538222132145054
serve_width_B,0.11734707394528406
serve_width_BC,0.1192553034090658
serve_width_BW,0.11404066291762537
serve_width_C,0.11667282110867429
serve_width_W,0.11723179831409579
serve_depth_CTL,0.11318781538530419
serve_depth_NCTL,0.11358664699628489
return_depth_D,0.1163062457542521
return_depth_ND,0.11669792075564644
