Feature,Average Difference
elapsed_time,0.12055375996062499
set_no,0.12043694972902717
game_no,0.1221814660611981
point_no,0.12035810774984118
serve_no,0.12017413312178889
set_victor,0.12074728888308932
p1_ace,0.12702355192539225
p2_ace,0.1286013005267896
p1_double_fault,0.12055416235889861
p2_double_fault,0.12153783404675433
p1_unf_err,0.1705123684675751
p2_unf_err,0.15988852859971056
p1_net_pt,0.12065782064716973
p2_net_pt,0.12082685914091368
p1_net_pt_won,0.12172289500291836
p2_net_pt_won,0.13277320206433002
p1_break_pt,0.12055416235889861
p2_break_pt,0.120834812448321
p1_break_pt_won,0.12055416235889861
p2_break_pt_won,0.12410951835621975
p1_break_pt_missed,0.12055416235889861
p2_break_pt_missed,0.12396112665043266
p1_distance_run,0.12073175393178794
p2_distance_run,0.12012119249267851
rally_count,0.12181131660625966
speed_mph,0.12094520332882863
game_victor_0,0.12104556642383517
game_victor_1,0.13104593927810293
game_victor_2,0.13921882064265767
winner_shot_type_0,0.12097313897070773
winner_shot_type_B,0.12163870607887557
winner_shot_type_F,0.1250643691728394
serve_width_B,0.12239473127274815
serve_width_BC,0.12203315105177688
serve_width_BW,0.12371894473622662
serve_width_C,0.11856902486862181
serve_width_W,0.12480418846501921
serve_depth_CTL,0.12121236295757182
serve_depth_NCTL,0.12105232904146535
return_depth_D,0.12108660246842282
return_depth_ND,0.119627541223329
