Feature,Average Difference
elapsed_time,0.13964017572609255
set_no,0.13888562145142055
game_no,0.1396665900804791
point_no,0.1388443553479811
serve_no,0.1401862354628241
set_victor,0.14004847291903963
p1_ace,0.1427198639859547
p2_ace,0.14689944439544148
p1_double_fault,0.13959198454160152
p2_double_fault,0.14003415810875597
p1_unf_err,0.18315332800369052
p2_unf_err,0.15945415325118464
p1_net_pt,0.14083370734006168
p2_net_pt,0.14146910352131525
p1_net_pt_won,0.1694821183937563
p2_net_pt_won,0.1635469573248616
p1_break_pt,0.14082892021289514
p2_break_pt,0.14045421113690534
p1_break_pt_won,0.1397798288218333
p2_break_pt_won,0.1408850359159107
p1_break_pt_missed,0.14070315340674724
p2_break_pt_missed,0.14100161699946
p1_distance_run,0.13911298119752596
p2_distance_run,0.14050316261597165
rally_count,0.1397442244861995
speed_mph,0.14043285968643027
game_victor_0,0.1408951001202672
game_victor_1,0.15479741272117412
game_victor_2,0.15818351938530115
winner_shot_type_0,0.14180058869415846
winner_shot_type_B,0.14117796738013752
winner_shot_type_F,0.14379536060131148
serve_width_B,0.1408316850615274
serve_width_BC,0.14038163042048135
serve_width_BW,0.1413478057933267
serve_width_C,0.1400452853818307
serve_width_W,0.1422921915135558
serve_depth_CTL,0.14089786304207913
serve_depth_NCTL,0.14052040985464548
return_depth_D,0.1403147733183343
return_depth_ND,0.14006021004091918
