Feature,Average Difference
elapsed_time,0.13379636240831344
set_no,0.13589306073768223
game_no,0.13422857553989867
point_no,0.13479800278219922
serve_no,0.13694070128230268
set_victor,0.1339135206259608
p1_ace,0.1444807491422328
p2_ace,0.13900457523505103
p1_double_fault,0.1342059276711914
p2_double_fault,0.1349473226989384
p1_unf_err,0.1662209884274796
p2_unf_err,0.16323163746126806
p1_net_pt,0.1354017211674118
p2_net_pt,0.13506931105954012
p1_net_pt_won,0.15882718312576508
p2_net_pt_won,0.16415864975157993
p1_break_pt,0.1346348195852914
p2_break_pt,0.13581265953021598
p1_break_pt_won,0.13429226044127834
p2_break_pt_won,0.13414254588220853
p1_break_pt_missed,0.13504422178480732
p2_break_pt_missed,0.13466756972989227
p1_distance_run,0.13415573868025318
p2_distance_run,0.13414978379024622
rally_count,0.1339400213615722
speed_mph,0.13458927086588132
game_victor_0,0.13455126017545274
game_victor_1,0.1533721169266087
game_victor_2,0.1631580129574356
winner_shot_type_0,0.13315209673762504
winner_shot_type_B,0.13501205703198732
winner_shot_type_F,0.13481675693148143
serve_width_B,0.13328335677127703
serve_width_BC,0.1356470238350063
serve_width_BW,0.13987288637232623
serve_width_C,0.13686593447486503
serve_width_W,0.13542705508263178
serve_depth_CTL,0.13519591578192652
serve_depth_NCTL,0.13382857451888633
return_depth_D,0.1381528287093683
return_depth_ND,0.1362507984726634
